timestamp,message,logStreamName
1636337931846,"2021-11-08 02:18:46,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46752 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337936851,"2021-11-08 02:18:51,788 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46752 ""GET /ping HTTP/1.1"" 200 1",AllTraffic/i-05b4c405ca1171650
1636337941855,"2021-11-08 02:18:56,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46752 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337946860,"2021-11-08 02:19:01,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46752 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:06,787 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:46752 ""GET /ping HTTP/1.1"" 200 0",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,474 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Invoking custom service failed.",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,474 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - Traceback (most recent call last):",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,475 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/mms/service.py"", line 108, in predict",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,475 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     ret = self._entry_point(input_batch, self.context)",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,475 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/default_handler_service.py"", line 31, in handle",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,475 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     return self._service.transform(data, context)",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,476 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py"", line 55, in transform",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,476 [INFO ] W-9000-model com.amazonaws.ml.mms.wlm.WorkerThread - Backend response time: 221",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,476 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self.validate_and_initialize()",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,476 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py"", line 92, in validate_and_initialize",AllTraffic/i-05b4c405ca1171650
